book_id,Title,Author,Link,Description
1,RETURN OF THE BRUTE,LIAM O’FLAHERTY,https://www.gutenberg.org/ebooks/77215.html.images,Thrilling
2,"Frankenstein; Or, The Modern Prometheus",Mary Wollstonecraft Shelley,https://www.gutenberg.org/cache/epub/84/pg84-images.html,"Frankenstein; Or, The Modern Prometheus"" by Mary Wollstonecraft Shelley is a novel written in the early 19th century. The story explores themes of ambition, the quest for knowledge, and the consequences of man's hubris through the experiences of Victor Frankenstein and the monstrous creation of his own making"
3,"Moby Dick; Or, The Whale",Herman Melville,https://www.gutenberg.org/cache/epub/2701/pg2701-images.html,"""Moby Dick; Or, The Whale"" by Herman Melville is a novel written in the mid-19th century. The story follows Ishmael, a sailor on a whaling voyage, who seeks adventure and escape from his gloomy life on land."
4,Pride and Prejudice,by Jane Austen,https://www.gutenberg.org/cache/epub/1342/pg1342-images.html,"Pride and Prejudice"" by Jane Austen is a classic novel written in the early 19th century. The story delves into themes of love, social class, and individual agency, largely revolving around the life of Elizabeth Bennet, one of five sisters from a modest but genteel family navigating the complex social landscape of Regency England."
5,The King in Yellow,Robert W. Chambers,https://www.gutenberg.org/cache/epub/8492/pg8492-images.html,"""The King in Yellow"" by Robert W. Chambers is a collection of short stories written in the late 19th century. This work weaves together themes of madness, decay, and the supernatural, often revolving around a mysterious play that drives its readers to madness. "
6,Romeo and Juliet,William Shakespeare,https://www.gutenberg.org/cache/epub/1513/pg1513-images.html,"""Romeo and Juliet"" by William Shakespeare is a tragedy likely written during the late 16th century. The play centers on the intense love affair between two young lovers, Romeo Montague and Juliet Capulet, whose families are embroiled in a bitter feud. Their love, while passionate and profound, is met with adversities that ultimately lead to tragic consequences."
7,Alice's Adventures in Wonderland,Lewis Carroll,https://www.gutenberg.org/cache/epub/11/pg11-images.html,"""Alice's Adventures in Wonderland"" by Lewis Carroll is a classic children's novel written in the mid-19th century. The story follows a young girl named Alice who, feeling bored and sleepy while sitting by a riverbank, encounters a White Rabbit and follows it down a rabbit hole, plunging into a fantastical world filled with curious creatures and whimsical adventures. "
8,The Complete Works of William Shakespeare,William Shakespeare,https://www.gutenberg.org/cache/epub/100/pg100-images.html,"""The Complete Works of William Shakespeare"" by William Shakespeare is a collection of classic literary works written in the late 16th to early 17th centuries. This comprehensive anthology includes a wide range of genres, encompassing sonnets, comedies, histories, and tragedies, all showcasing Shakespeare's unparalleled mastery of language and character development."
9,The Strange Case of Dr. Jekyll and Mr. Hyde ,Robert Louis Stevenson,https://www.gutenberg.org/cache/epub/43/pg43-images.html,"""The Strange Case of Dr. Jekyll and Mr. Hyde"" by Robert Louis Stevenson is a novella written during the late 19th century that delves into the duality of human nature and the struggle between good and evil. The narrative follows Mr. Utterson, a lawyer, as he investigates the mysterious relationship between his friend, Dr. Jekyll, and the sinister Mr. Hyde, uncovering dark secrets that test the boundaries of morality. "
10,Middlemarch,George Eliot,https://www.gutenberg.org/cache/epub/145/pg145-images.html,"""Middlemarch"" by George Eliot is a novel written in the mid-19th century that explores the lives and interactions of residents in a provincial English town. The story primarily centers around Dorothea Brooke, a young woman with high ideals and aspirations for a meaningful life, who grapples with her search for love and purpose amid societal expectations. "
11,A Room with a View,E. M. Forster,https://www.gutenberg.org/cache/epub/2641/pg2641-images.html,"""A Room with a View"" by E. M. Forster is a novel written during the early 20th century, which explores themes of social conventions and personal freedom. Set primarily in Italy and England, the narrative follows the journey of Lucy Honeychurch, a young woman navigating her feelings about love, societal expectations, and her own desires against the backdrop of her experiences abroad. "
12,Spadacrene Anglica: The English Spa Fountain,Edmund Deane,https://www.gutenberg.org/ebooks/16417.html.images,"Spadacrene Anglica: The English Spa Fountain"" by Edmund Deane is a medical treatise written in the early 17th century. This work is primarily focused on the medicinal properties of the mineral waters at Harrogate, particularly the Tuewhit Well, which Deane famously extols as the ""English Spa"" in comparison to its German counterparts. "
13,"Little Women; Or, Meg, Jo, Beth, and Amy",Louisa May Alcott,https://www.gutenberg.org/ebooks/37106.html.images,"""Little Women; Or, Meg, Jo, Beth, and Amy"" by Louisa May Alcott is a classic novel written in the mid-19th century. The story revolves around the lives and experiences of four sisters—Meg, Jo, Beth, and Amy March—as they navigate the challenges of growing up in a modest household during the American Civil War. "
14,The Blue Castle,L. M. Montgomery,https://www.gutenberg.org/ebooks/67979.html.images,"The Blue Castle"" by L. M. Montgomery is a novel written in the early 20th century. The story centers around Valancy Stirling, a nearly thirty-year-old woman who feels trapped in her life as an unmarried woman in a family that shows little regard for her."
15,Dracula,Bram Stoker,https://www.gutenberg.org/ebooks/345.html.images,"""Dracula"" by Bram Stoker is a Gothic horror novel written in the late 19th century. The story unfolds through a series of letters, journal entries, and newspaper clippings, primarily following the experiences of Jonathan Harker, a young English solicitor. Harker’s journey takes him to Transylvania, where he encounters the enigmatic Count Dracula, setting a thrilling and mysterious tone that delves into themes of fear, seduction, and the supernatural."
16,The Enchanted April ,Elizabeth Von Arnim,https://www.gutenberg.org/ebooks/16389.html.images,"""The Enchanted April"" by Elizabeth Von Arnim is a novel written in the early 20th century. The story revolves around four women who seek a transformative escape from their mundane lives in cold, rainy England to the alluring sunshine of a mediaeval castle in Italy. The main characters introduced are Mrs. Wilkins and Mrs. Arbuthnot, both of whom are discontented with their respective circumstances and longing for a change. "
17,The Scarlet Letter ,Nathaniel Hawthorne,https://www.gutenberg.org/ebooks/25344.html.images,"The Scarlet Letter"" by Nathaniel Hawthorne is a classic novel written in the mid-19th century. The book delves into themes of sin, guilt, and redemption, primarily exploring the life of Hester Prynne, a woman shunned by her Puritan community after bearing an illegitimate child. Through her experiences and struggles, the narrative examines the societal and personal ramifications of moral transgressions. "
